Z210;3M0A;72335-75T04AT010EX;551;;1;N1TPX2;P120;Process;Patches;95.000;PCS;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;3M0A;RM-CLM-0.4X36.5SUS;551;;1;N1RFX1;P110;Setting;Dented;17.600;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-25;IPS12103;223210012263
Z110;3M0A;RM-TPO-EVP0014A;551;;1;N1RFX1;P110;Setting;Dented;14.200;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-25;IPS12103;223210012263
Z110;3M0A;RM-TPO-LVA0315C;551;;1;N1RFX1;P110;Setting;Dented;6.000;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-25;IPS12103;223210012263
Z110;3M0A;RM-TPO-QF551;551;;1;N1RFX1;P110;Setting;Dented;4.000;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-25;IPS12103;223210012263
Z110;D74A;RM-TPO-CYRENE48DUA;551;;1;N1TPX1;P110;Setting;Wavy;10.400;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;D74A;RM-TPO-QT70SG;551;;1;N1TPX1;P110;Setting;Wavy;7.900;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;D74A;RM-WIRE-AD-40-O-B;551;;1;N1TPX1;P110;Setting;Wavy;101.200;M;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;D74A;PP-TAPE-FLOCK-12MM;551;;1;N1TPX1;P110;Setting;Wavy;101.200;M;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;D74A;PP-TAPE-FLOCK-14MM;551;;1;N1TPX1;P110;Setting;Wavy;101.200;M;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;D27A;RM-TPO-CYRENE5004;551;;1;N1TPX2;P110;Setting;Scratch;22.900;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
Z110;D27A;RM-TPO-QT70SG;551;;1;N1TPX2;P110;Setting;Scratch;22.100;KG;MOHD AZHAR BIN TAIB;2025-10-28;2025-10-27;IPS12103;223210012263
